Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha),Temperatura
2022,ANTIOQUIA,CACAO,"24892,94","15453,77","0,62","11,34","10,82",23.0
2022,CALDAS,CACAO,"4941,5","3650,85","0,74","2,68","2,15",19.9
2022,ANTIOQUIA,YUCA,"10517,77","134353,1","12,77","6,39","5,62",23.0
2022,CALDAS,YUCA,"24,5","253,5","10,35","0,01","0,01",19.9
2022,ANTIOQUIA,CAÑA PANELERA,"34809,26","1526825,65","43,86","11,19","15,96",23.0
2022,CALDAS,CAÑA PANELERA,"9962,1",607753,"61,01","4,46","4,57",19.9
2022,RISARALDA,FRIJOL,"293,47","354,9","1,21","0,24","0,3",21
2022,RISARALDA,BANANO,"532,7","5522,5","10,37","1,16","1,05",21
2022,RISARALDA,PLATANO,"16964,95","175239,6","10,33","3,93","3,9",21
2022,RISARALDA,AGUACATE,"137,97","1208,84","8,76","0,27","0,27",21
2022,RISARALDA,AGUACATE HASS,"3428,83","35456,12","10,34","6,16","6,69",21
2022,RISARALDA,CACAO,"1872,12","937,06","0,5","0,69","0,81",21
2022,RISARALDA,YUCA,240,"1546,5","6,44","0,07","0,13",21
2022,RISARALDA,CAÑA PANELERA,"3180,31","194447,6","61,14","1,43","1,46",21
