Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha),Temperatura
2014,CALDAS,CAÑA PANELERA,"10548,9","48140,9","4,56","3,93","5,18",19.8
2014,ANTIOQUIA,FLORES Y FOLLAJES,5,"12,5","2,5","0,2","1,13",22.8
2014,CALDAS,FLORES Y FOLLAJES,14,"50,5","3,61","0,82","3,17",19.8
2015,CALDAS,FRIJOL,"1179,8","2189,97","1,86","2,08","1,38",20.0
2015,ANTIOQUIA,BANANO,997,"7571,5","7,59","2,61","3,32",23.0
2015,CALDAS,BANANO,338,"4813,13","14,24","1,66","1,13",20.0
2015,ANTIOQUIA,PLATANO,"47716,9","401798,82","8,42","11,76","12,25",23.0
2015,CALDAS,PLATANO,"18990,2","223741,72","11,78","6,55","4,87",20.0
2015,ANTIOQUIA,AGUACATE,"5649,1","61690,45","10,92","19,73","14,73",23.0
2015,CALDAS,AGUACATE,"4002,2","33371,93","8,34","10,68","10,43",20.0
2015,RISARALDA,FRIJOL,"453,3","639,49","1,41","0,61","0,53","20,2"
2015,RISARALDA,BANANO,"301,5","6450,14","21,39","2,23","1,01","20,2"
2015,RISARALDA,PLATANO,"18487,6","163554,43","8,85","4,79","4,75","20,2"
2015,RISARALDA,AGUACATE,"1153,8","14090,9","12,21","4,51","3,01","20,2"
2015,RISARALDA,CACAO,"1193,5","980,6","0,82","1,13","0,72","20,2"
2015,RISARALDA,YUCA,81,2205,"27,22","0,12","0,05","20,2"
2015,RISARALDA,CAÑA PANELERA,3575,"24850,23","6,95","2,03","1,79","20,2"
2015,RISARALDA,FLORES Y FOLLAJES,"116,7","4164,4","35,68","52,71","21,95","20,2"
2015,ANTIOQUIA,CACAO,"14929,1","8703,78","0,58","10,03","8,96",23.0
